School Name,School Type,Youth Attendees,Address,Year,full_address,latitude,longitude
Gage HS,High School,50,"5630 S Rockwell St Chicago, IL 60629",2024-05-06T00:00:00Z,"5630 S Rockwell St Chicago, IL 60629 Chicago, IL",41.790558817699,-87.689739823197
Mollison Elementary,Elementary,80,"4415 S King Dr, Chicago IL 60653",2024-05-07T00:00:00Z,"4415 S King Dr, Chicago IL 60653 Chicago, IL",41.814159197646,-87.616058368057
Barton Elementary,Elementary,135,Virtual,2024-05-13T00:00:00Z,"Virtual Chicago, IL",41.781582,-87.969647
New Sullivan Elementary,Elementary,100,"8331 S Mackinaw Ave, Chicago IL, 60617",2024-05-13T00:00:00Z,"8331 S Mackinaw Ave, Chicago IL, 60617 Chicago, IL",41.74403104081,-87.542657706674
Parkside Academy,Elementary,24,"6938 S East End Ave, Chicago, IL 606049",2024-05-28T00:00:00Z,"6938 S East End Ave, Chicago, IL 606049 Chicago, IL",41.768909283806,-87.583305829942
Alfred Nobel Elementary,Elementary,230,"4127 W Hirsch St Chicago, IL 60651",2024-09-18T00:00:00Z,"4127 W Hirsch St Chicago, IL 60651 Chicago, IL",41.905827881724,-87.729855779433
George Washington High School,High School,150,"3535 E 114th St, Chicago, IL 60617",2024-10-02T00:00:00Z,"3535 E 114th St, Chicago, IL 60617 Chicago, IL",41.687165820825,-87.538186212787
Zapata Elementary,Elementary,173,"2728 S Kostner Ave Chicago, IL 60623",2024-10-02T00:00:00Z,"2728 S Kostner Ave Chicago, IL 60623 Chicago, IL",41.841759086513,-87.735179126139
Horizon,Elementary,425,"5401 S Western Ave, Chicago IL 60609",2024-10-11T00:00:00Z,"5401 S Western Ave, Chicago IL 60609 Chicago, IL",41.79538746448,-87.682796422244
Edward White,Elementary,33,"1136 W 122nd St, Chicago, IL 60643",2024-10-16T00:00:00Z,"1136 W 122nd St, Chicago, IL 60643 Chicago, IL",41.672715713118,-87.650624414743
Cesar Chavez Elementary,Elementary,28,"4831 S Hermitage Ave, Chicago, IL 60609",2024-10-16T00:00:00Z,"4831 S Hermitage Ave, Chicago, IL 60609 Chicago, IL",41.80586999832,-87.668239990095
Stevenson Elementary,Elementary,353,"4350 W 79th St. Chicago, IL 60652",2024-10-22T00:00:00Z,"4350 W 79th St. Chicago, IL 60652 Chicago, IL",41.750333268079,-87.731010051319
Cesar Chavez Elementary,Elementary,104,"4831 S Hermitage Ave, Chicago, IL 60609",2024-10-28T00:00:00Z,"4831 S Hermitage Ave, Chicago, IL 60609 Chicago, IL",41.80586999832,-87.668239990095
Willa Cather Elementary,Elementary,55,"2908 W Washington Blvd, Chicago, IL 60612",2024-10-29T00:00:00Z,"2908 W Washington Blvd, Chicago, IL 60612 Chicago, IL",41.883313461153,-87.699174996325
Rachel Carson Elementary,Elementary,220,"5516 S Maplewood Ave, Chicago IL 60629",2024-10-30T00:00:00Z,"5516 S Maplewood Ave, Chicago IL 60629 Chicago, IL",41.793297562652,-87.688376841922
Gage Park HS,High School,56,"5630 S Rockwell St, Chicago, IL 60629",2024-11-07T00:00:00Z,"5630 S Rockwell St, Chicago, IL 60629 Chicago, IL",41.790558817699,-87.689739823197
Cesar Chavez Elementary,Elementary,52,"4831 S Hermitage Ave, Chicago, IL 60609",2024-11-08T00:00:00Z,"4831 S Hermitage Ave, Chicago, IL 60609 Chicago, IL",41.80586999832,-87.668239990095
Cesar Chavez Elementary,Elementary,52,"4831 S Hermitage Ave, Chicago, IL 60609",2024-11-08T00:00:00Z,"4831 S Hermitage Ave, Chicago, IL 60609 Chicago, IL",41.80586999832,-87.668239990095
Stowe Elementary,Elementary,150,"3444 W Wabansia Ave Chicago, IL 60647",2024-11-13T00:00:00Z,"3444 W Wabansia Ave Chicago, IL 60647 Chicago, IL",41.91251827493,-87.71313891174
Palmer Elementary,Elementary,129,"5051 N Kenneth, Chicago, IL 60630",2024-11-15T00:00:00Z,"5051 N Kenneth, Chicago, IL 60630 Chicago, IL",41.972956155414,-87.738951653121
