school_name_std,address,city,zip,county,FedCong,included_in_program,registered,n_incidents,had_incident,n_disp_return,perc_disp_return
lincoln elementary school,20 Lincoln Rd,Canton,61520 1037,Fulton,17,1,NA,0,0,NA,NA
lincoln elementary school,1650 Maureen Dr,Hoffman Estates,60192 4602,Kane,08,1,NA,0,0,NA,NA
lincoln elementary school,514 S Main St,Pontiac,61764 2477,Livingston,02,1,1,0,0,NA,NA
lincoln elementary school,14151 Lincoln Ave,Dolton,60419 1023,Cook,02,1,NA,0,0,NA,NA
lincoln grade school,303 Jackson St,Washington,61571 1473,Tazewell,16,1,1,1,1,1,1
lincoln hall middle school,6855 N Crawford Ave,Lincolnwood,60712 4601,Cook,09,1,NA,0,0,NA,NA
lincoln jr high school,7839 Lincoln Ave,Skokie,60077 3640,Cook,09,1,1,0,0,NA,NA
lincoln jr high school,1320 Olympus Dr,Naperville,60565 1258,Dupage,11,1,1,0,0,NA,NA
lincoln jr high school,1165 Saint Vincents Ave,La Salle,61301 1628,La Salle,14,1,1,0,0,NA,NA
lincoln jr high school,208 Broadway St,Lincoln,62656 2015,Logan,15,1,1,0,0,NA,NA
lincoln junior high school,14151 Lincoln Ave,Dolton,60419 1023,Cook,02,1,NA,0,0,NA,NA
lincoln magnet school,300 S 11th St,Springfield,62703 1204,Sangamon,13,1,NA,0,0,NA,NA
lincoln middle school,700 W Lincoln St,Mount Prospect,60056 3010,Cook,05,1,1,0,0,NA,NA
lincoln middle school,200 S Lincoln Ave,Park Ridge,60068 3812,Cook,05,1,NA,1,1,0,0
lincoln middle school,9750 Soreng Ave,Schiller Park,60176 2105,Cook,03,1,1,0,0,NA,NA
lincoln middle school,6432 16th St,Berwyn,60402 1358,Cook,04,1,NA,0,0,NA,NA
lincoln middle school,145 West St,Edwardsville,62025 1467,Madison,13,1,NA,0,0,NA,NA
lincoln park high school,2001 N Orchard St,Chicago,60614 4404,Cook,05,1,1,4,1,4,1
